,artist,song,link,text
17074,Randy Travis,Shallow Water,/r/randy+travis/shallow+water_20214597.html,"I will not drown in shallow water  
Not with your love within my reach  
I did not come this far to falter  
And will not rest until I'm free  
You are the sun, you are the flower  
You are the wind across the sea  
And I will kneel here at your altar  
And pray you'll take my soul to keep  
Oh, precious one, you are the mountain  
You are the earth beneath my feet  
In you we're one now and forever  
In you I find the love in me  
Through your love my eyes are open  
Through your love I'll learn to see  
And in your name my bread is broken  
By your grace I'll rest in peace  
I will not drown in shallow water  
Not with your love within my reach  
I did not come this far to falter  
And will not rest until I'm free  
Through your love my eyes are open  
Through your love I'll learn to see  
And in your name my bread is broken  
By your grace I'll rest in peace  
I will not drown in shallow water  
Not with your love within my reach  
I did not come this far to falter  
And will not rest until I'm free  
I will not rest until I'm free  
Until I'm free  

"
22828,Ace Of Base,Angel Eyes,/a/ace+of+base/angel+eyes_20003546.html,"I know that I'm not the first one  
You have love in your path before me  
But when your lips touched my lips  
It felt like I was kissing destiny  
  
Angel eyes with your angel eyes  
Will you always be there to hold me  
Angel eyes I'm satisfied  
I don't want to hear your story  
  
'Cause I can see the things  
I really want to see  
I'm in love  
I believe in what I'm feeling  
  
I'd give everything up just for you  
Love is devoted to those who see  
That the last dance, you dance with the truth  
Angel eyes with your angel eyes  
  
Will you always be there to hold me  
Angel eyes I'm satisfied  
I don't want to hear your story  
'Cause I can see the things  
  
I really want to see  
In your eyes  
Angel eyes just want you here to hold me  
Angel eyes

"
41691,Linda Ronstadt,Crazy He Calls Me,/l/linda+ronstadt/crazy+he+calls+me_20177816.html,"I say I'll move the mountains  
And I'll move the mountains  
If he wants them out of the way  
Crazy he calls me  
Sure I'm crazy  
Crazy in love I'd say  
I say I'll go through fire  
And I'll go through fire  
As he wants it so it shall be  
Crazy he calls me  
Sure I'm crazy  
Crazy in love you see  
Like the wind that shakes the bough  
He moves me with a smile  
The difficult I'll do right now  
The impossible will take a little while  
I say I'll care forever  
And I mean forever  
If I have to hold up the sky  
Crazy he calls me  
Sure I'm crazy  
Crazy in love am I  
Like the wind that shakes the bough  
He moves me with a smile  
The difficult I'll do right now  
The impossible will take a little while  
I say I'll care forever  
And I mean forever  
If I have to hold up the sky  
Crazy he calls me  
Sure I'm crazy  
Crazy in love am I

"
57588,Zao,In Loving Kindness,/z/zao/in+loving+kindness_10198426.html,"We are a new creation, the old has gone, the new has come.  
Reconcile us to Himself, through Christ Jesus.  
We will be free, forever knowing what will become... of us.  
Thank you for the cross.  
Trusting in the balance has tilted me towards righteousness.  
Lifting my spirit once again, sinking not in my functioning.  
Inhale, exhale this over and over again.  
Looking for tomorrow forgetting about today.  
Dying, dying.  
Through prayer and sacrifice into all the earth,  
With love and understanding.  
Now I look to importance, standing here steadfast,  
To renew (the? or Your?) spirit within me.  
Do not cast me from Your presence,  
Or take Your Holy Spirit from me

"
16787,Radiohead,Faithless Wonder Boy,/r/radiohead/faithless+the+wonder+boy_10237861.html,"I've had these jeans since i was born  
And now they're ripped and now they're torn  
And all my friends have skateboards  
  
I want the toys of other boys  
I want a knife and a gun and things  
But mom and dad will not give in  
  
And i can't put the needle in  
Can't put the needle in  
I can't put the needle in  
No I can't put the needle in  
Can't put the needle in  
Can't put the needle in  
  
And now I know just what it is  
It's called disease and it's got my head  
It always runs where I hide  
  
Too scared too talk, too scared to try  
Too scared to know the reasons why  
And all my friends say bye bye  
  
And i can't put the needle in  
Can't put the needle in  
Can't put the needle in  
No I can't put the needle in  
Can't put the needle in  
Can't put the needle in  
  
And i can't put the needle in  
Can't put the needle in  
Can't put the needle in  
No I can't put the needle in  
Can't put the needle in  
Can't put the needle in

"
30958,Ella Fitzgerald,Always,/e/ella+fitzgerald/always_20045671.html,"I'll be loving you always  
With a love that's true always.  
When the things you've planned  
Need a helping hand,  
I will understand always.  
  
Always.  
  
Days may not be fair always,  
That's when I'll be there always.  
Not for just an hour,  
Not for just a day,  
Not for just a year,  
But always.  
  
I'll be loving you, oh always  
With a love that's true always.  
When the things you've planned  
Need a helping hand,  
I will understand always.  
  
Always.  
  
Days may not be fair always,  
That's when I'll be there always.  
Not for just an hour,  
Not for just a day,  
Not for just a year,  
But always.  
  
Not for just an hour,  
Not for just a day,  
Not for just a year,  
But always.

"
23929,America,Walk In The Woods,/a/america/walk+in+the+woods_20665270.html,"(Dewey Bunnell)  
  
Would it matter to you  
If we just took a walk  
To see where this path leads to  
Maybe stop in awhile  
Lay down, see you smile  
Looking up at those clouds in view  
  
It doesn't matter that the sky isn't blue  
A walk in the woods will do  
Sometimes it's better just being alone  
Being alone with you  
  
With the snow in your hair  
A crystal halo you wear  
While the chill winter air streams through  
Amid the birch and the oak  
Smell the fireplace smoke  
And the warmth we will go home to  
  
It doesn't matter that the sky isn't blue  
A walk in the woods will do  
Sometimes it's better just being alone  
Being alone with you  
  
Oh whoa...  
  
It doesn't matter that the sky isn't blue  
A walk in the woods will do  
Sometimes it's better just being alone  
Being alone with you  
Being alone with you

"
50961,Robbie Williams,Jesus In A Camper Van,/r/robbie+williams/jesus+in+a+camper+van_20116811.html,"Ooh we've got a live one, featherweight icon  
Heroes let 'im down so he sleeps with the  
Light on  
And there's nothin' left to do but kneel down  
And pray  
Sail away with Caesar if you're a non believer  
Everybody get high if you're a  
Diamond geezer  
It's the devil that needs ya so go out and play  
  
Blame yourself it's easier  
There's no need to trouble her you trouble her  
  
Jesus in a camper van he said sorry to  
Leave you but I've done all I can  
I suppose even the son of God  
Gets it hard sometimes  
Especially when he goes round  
Saying I am the way  
  
And now it's four in the mornin' yes yes y'all in  
No one can shoot but everybody's scoring  
Trust me it's boring get down and pray  
  
They told you not to meddle with the bass and the treble  
There's dust on your needle and you think that  
You're a rebel  
  
You're Evel Knievel so get down and pray  
Blame yourself it's easier  
There's no need to trouble her you trouble her  
  
Jesus in a camper van he said sorry to  
Leave you but I've done all I can  
I suppose even the son of God  
Gets it hard sometimes  
Especially when he goes round  
Saying I am the way  
  
I am the way, I am the way, I am the way  
I am, I am, I am, I am, I am, I am the way  
  
Jesus in a camper van he said sorry to  
Leave you but I've done all I can  
I suppose even the son of God  
Gets it hard sometimes  
  
Jesus in a camper van he said sorry to  
Leave you but I've done all I can  
I suppose even the son of God  
Gets it hard sometimes  
  
Blame yourself it's easier  
There's no need to trouble her  
Blame yourself it's easier  
There's no need to trouble her  
  
Jesus in a camper van he says sorry to  
Leave you but I've done all I can  
I suppose even the son of God  
Gets it hard sometimes  
Jesus in a camper van he says sorry to  
Leave you but I've done all I can  
I suppose even the son of God  
Gets it hard sometimes  

"
17740,Robbie Williams,Love Foolosophy,/r/robbie+williams/love+foolosophy_20606418.html,"Baby, baby I feel this sweet sensation  
Honey Honey looks like a superstar  
Shes got a promise of lovestruck fascination  
  
What am I to do?  
How am I to know?  
Who are you. She shimmers  
Like a california sunset  
Honey, honey glitters but  
Theres no gold she carries  
Sweetly infectious magic  
Formulas, so delerious  
Is she that serious? Is she bringing me on?  
I've been waiting so long  
  
And this love, fool, osophy  
Is killing previous illusions that I had in my mind  
About you seems so true  
All the lies your telling tragically compelling  
And my love means nothing to you so  
Maybe I'm still a love fool  
I don't want to be a love fool  
I don't want the world  
I want you!

"
51850,Soundgarden,Flower,/s/soundgarden/flower_20128223.html,"All of seventeen  
Eyes a purple green  
Treated like a Queen, she was  
On borrowed self esteem  
  
She would do a dance  
A painful masquerade  
Spinning you into her web  
Along her vain parade  
  
In her uniform  
Studded brass and steel  
Kissing lipstick, napkin stains  
And smearing sincerity  
  
Along her vain parade  
Along her veins  
  
Time crept up on her  
She's early gray  
Her reflection looks concerned  
As flowers hit her grave

"
27438,Chicago,My Own Best Friend,/c/chicago/my+own+best+friend_20641127.html,"Roxie: There's only one person who can help ya now, Roxie  
Velma: There's only one person you can count on now, Velma  
  
And now, Miss Roxie Hart and Miss Velma Kelly sing a song  
Of unrelenting determination and unmitigated ego  
  
One thing I know  
One thing I know  
And I've always known  
And I've always known  
I am my own  
I am my own  
Best friend  
  
Baby's alive  
Baby's alive  
But baby's alone  
But baby's alone  
And baby's her own  
And baby's her own  
Best friend  
  
Many's the guy  
Who told me he cares  
But they were scratchin' my back  
'Cause I was scratchin' theirs  
  
And trusting to luck  
And trusting to luck  
That's only for fools  
Only for fools  
I play in a game  
I play in a game  
Where I make the rules  
  
And rule number one  
From here to the end  
Is I am my own best friend'  
  
Three musketeers  
Who never say die  
Are standing here this minute  
Me  
Me  
Myself  
Myself  
And I  
And I  
  
If life is a school I'll pass every test  
If life is a game I'll play it the best  
'Cause I wont give in and I'll never bend  
And I am my own best friend

"
42204,Louis Armstrong,Summertime,/l/louis+armstrong/summertime_20085380.html,"Summertime....and the livin' is easy  
Fish are jumpin'...and the cotton is high  
Yo' daddy's rich...and yo' mama's good-lookin'  
So hush little baby......don't you cry  
  
One of these mornin's..you gonna rise up singin'  
You gonna spread your little wings...and you'll take to the sky  
But 'till that mornin'...there ain't nothin' gonna harm you  
With yo mama and daddy...standin' bye  
  
Now it's summertime....and the livin' is easy  
Them fish are jumpin'...and the cotton's 'bout waist high  
Yo' daddy's rich...and, ya know yo' mama's good-lookin'  
Now hush little baby......don't....you cry  
  
Summertime....  
Ah said it's summertime

"
46599,Oingo Boingo,Lost Like This,/o/oingo+boingo/lost+like+this_20102706.html,"I'm standing all alone out in the pouring rain  
And though it really isn't like me to complain  
I think I'm getting used to it  
I feel happy, and I also feel bad  
I've never been here, but somehow I think I have  
But I'm getting used to it  
  
I've never been lost like this  
I've never been lost like this  
But I wouldn't be happy anywhere else  
Nobody to tell us what to do all by ourselves  
  
Don't know how I got here and I don't know why I stay  
The poets all around are laughing in their graves  
Must be something that I said  
This place is not like anything I've seen before  
The spirits move around, the houses have no doors  
But I'm getting used to it  
  
I've never been lost like this  
I've never been lost like this  
But I wouldn't be happy anywhere else  
Nobody to tell us what to do all by ourselves  
  
Isn't this a fine hello  
I wish I hadn't seen you go  
It's always been a bitter pill  
The broken mirror's broken still  
The letters never made the post  
A thousand more I never wrote  
And here on dark, unfriendly streets  
I find the comfort that I seek  
And I'm happy, and I've been happy  
  
I've never been lost like this  
I've never been lost like this  
But I wouldn't be happy anywhere else  
Nobody to tell us what to do all by ourselves  
  
I've never been lost like this  
I've never been lost like this  
But I wouldn't be, ha  
Yeah yeah yeah yeah wo wo yeah yeah yeah yeah

"
29999,Dolly Parton,I Don't Trust Me Around You,/d/dolly+parton/i+dont+trust+me+around+you_20186061.html,"You're standing much too close to me again  
I'd never once touched you  
But in my mind I've already sinned  
You're making it hard for me to be true  
I don't trust me around you  
  
Seems like every place I go I see you there  
I can't keep my eyes off you  
I just stand and stare  
You tempt me more than anyone I ever knew  
  
I don't trust me around you  
I don't trust me around you  
I belong to someone else  
Not once have I been untrue  
But when I'm close to you this way I find myself wanting to  
  
I don't trust me around you

"
16173,P!nk,Get The Party Started,/p/pnk/get+the+party+started_20108563.html,"[Intro]  
I'm comin' up,  
So you better get this party started.  
I'm comin' up,  
So you better get this party started.  
  
[Verse 1]  
Get this party started on a Saturday night,  
Everybody's waitin' for me to arrive.  
Sendin' out the message to all of my friends,  
We'll be lookin' flashy in my Mercedes Benz.  
I got lotsa style, check my gold diamond rings,  
I can go for miles, if you know what I mean  
  
[Chorus]  
I'm comin' up,  
So you better get this party started.  
(I'm comin' up, I'm comin')  
I'm comin' up,  
So you better get this party started.  
  
[Verse 2]  
Pumpin' up the volume, breakin' down to the beat,  
Cruisin' through the west side, we'll be checkin' the scene.  
Boulevard is freakin' as I'm comin' up fast,  
I'll be burnin' rubber, you'll be kissing my ass.  
Pull up to the bumper, get out of the car  
License plate says, stunner one number Superstar.  
  
I[Chorus]  
I'm comin' up,  
So you better get this party started.  
(I'm comin' up, I'm comin')  
I'm comin' up,  
So you better get this party started.  
Get this party started.  
  
[Verse 3]  
Makin' my connection as I enter the room,  
Everybody's chillin' as I set up the groove.  
Pumpin' up the volume with this brand new beat,  
Everybody's dancin' and they're dancin' for me.  
I'm your operator, you can call anytime,  
I'll be your connection to the party line.  
  
[Chorus]  
I'm comin' up,  
So you better get this party started.  
(I'm comin' up, I'm comin')  
I'm comin' up,  
So you better get this party started.  
Get this party started.  
  
[Outro]  
Get this party started  
Get this party started  
Get this part started right now  
Get this party started  
Get this party started  
Get this party started right now

"
32863,Frank Sinatra,Can't We Be Friends?,/f/frank+sinatra/cant+we+be+friends_20055480.html,"Took each word she said as gospel truth the way a silly little child would.  
I can't excuse it on the grounds of youth,  
I was no babe in the wild, wild wood.  
She didn't mean it,  
I should have seen it,  
But now it's too late.  
  
I thought I'd found the girl of my dreams,  
Now it seems,  
This is how the story ends:  
She's gonna turn me down and say,  
""Can't we be friends?""  
I thought for once it couldn't go wrong,  
Not for long,  
I can see the way this ends:  
She's gonna turn me down and say,  
""Can't we be friends?""  
Why should I care though she gave me the air,  
Why should I cry,  
Heave a sigh,  
And wonder why,  
And wonder why?  
I thought I found the gal I could trust,  
What a bust, this is how the story ends:  
She's gonna turn me down and say,  
""Can't we be just friends?""

"
7843,Hillsong United,Glorify Your Name,/h/hillsong+united/glorify+your+name_20541611.html,"Jesus Jesus  
Holy One, God's precious Son  
You gave  
  
Jesus Jesus  
On the cross You took my shame  
Forever from my heart I'll say  
  
I live to worship You, Lord  
My King of glory  
Brought me to life  
Gave me wings to fly  
You are holy  
Heaven and earth declare Your praise  
Both now and evermore  
I glorify Your name  
  
Jesus Jesus  
On the cross You took my sin  
Forever from my heart I'll sing  
  
You are holy  
Glorify Your name  
Jesus Jesus Jesus  
I glorify Your name

"
10185,Keith Green,Lord I'm Gonna Love You,/k/keith+green/lord+im+gonna+love+you_20077377.html,"Lord I'm gonna love you,  
  
Yes, I'm gonna love you.  
  
Oh, I'm gonna love you lord, with all that's in my heart.  
  
Lord I'm gonna trust you,  
  
Yes, I'm gonna trust you.  
  
How I'm gonna trust you lord, with all that's in my soul.  
  
Lord I'm gonna thank you,  
  
Yes, I'm gonna thank you.  
  
How I'm gonna thank you lord, with every thought of mine.  
  
Lord I'm gonna praise you,  
  
Yes, I'm gonna praise you.  
  
Yes, I'm gonna praise you lord, with all my strength and might.  
  
Lord I'm gonna follow, follow you.  
  
Yes, I'm gonna follow, follow you.  
  
Lord, I'm gonna follow you, with all my strength and might,  
  
With all that's in my heart and all that's in my soul.  
  
Lord, I'm gonna trust you, lord I'm gonna trust you.  
  
Lord, I'm gonna love you, lord I'm gonna love you.  
  
Lord, I'm gonna follow, follow you.

"
22210,Yolanda Adams,Yeah,/y/yolanda+adams/yeah_10196108.html,"Can I be committed is the question in my head  
all the issues in my life keep holdin' me back  
can I live up to the standard seems so hard to do  
but then you tell me take my hand you'll help me make it through oohh  
  
You ask me child do u love me  
and I say yeah yeah yeah  
but will you just give up everything  
and follow me yeah yeah yeah.  
  
We talk periodically,it should be everyday  
can imagine how it would be if i let you lead the way  
no broken hearts, less scars, less roads that never have an end  
so I'll throw away my pride let down  
my guard lord hear I am ooohhh.  
  
You ask me child do u love me  
and I say yeah yeah yeah  
(but will u just) but will  
you just give up everything  
and follow me yeah yeah yeah.  
  
When I just stop and think of all that you've done for me  
How can I say anything but yeah(yeah)yeah(yeah)yeah(yeahhh)  
  
You ask me child do u love me  
and I say yeah yeah yeah  
but will you just give up everything  
and follow me yeah yeah yeah.  
  
You ask me child do u love me  
and I say yeah yeah yeah  
but will you just give up everything  
and follow me yeah yeah yeah.  
  
You ask me child do u love me  
and I say yeah yeah yeah  
but will you just give up everything  
and follow me yeah yeah yeah.  

"
15313,Overkill,Fast Junkie,/o/overkill/fast+junkie_20201909.html,"Lean in,  
Take it right.  
Down one,  
No kissin' concrete.  
I'm awake! I'm awake! I'm awake!  
Too alive! It's comin'..!  
Let it go  
  
My strip,  
My bank,  
My rubber rut steel, my tank.  
I can kill! Too alive! Let it go!  
  
No time for thinking, a full out fast junkie.  
Puchin' the red, Hey!, full out speed monkey.  
  
Head shake!  
  
With thoughts fixed upon the fix, inside the vein...  
With thoughts fixed, not so easily explained.  
  
Let it out!  
Let it go!  
What you do not what you know!  
One more! Fix clean!  
I'm one, I am a machine!!!  
I am a machine!  
  
...No time for thinking a full out fast junkie,  
...Pushin' the red hey! Full out speed monkey.  
I am!  
Head shake!  
  
Wide Fucking Open

"
21783,Xandria,Like A Rose On The Grave Of Love,/x/xandria/like+a+rose+on+the+grave+of+love_20533448.html,"Come like the dusk  
Like a rose on the grave of love  
You are my lust  
Like a rose on the grave of love  
  
I curse the day I first saw you  
Like a rose that is born to bloom  
Don't look at me the way you do  
Like the roses, they fear the gloom  
  
Your thorns, they kissed my blood  
  
Your beauty heals, your beauty kills  
And who would know better than I do?  
Pretend you love me!  
  
Come like the dusk  
Like a rose on the grave of love  
You are my lust  
Like a rose on the grave of love  
  
Indeed, reality seems far  
  
When a rose is in love with you  
Slaves of our hearts, that's what we are  
We loved and died where roses grew  
  
They watched us silently  
  
A rose is free, a rose is wild  
And who would know better than I do?  
Roses are not made for love  
  
Come like the dusk  
Like a rose on the grave of love  
You are my lust  
Like a rose on the grave of love

"
33677,George Jones,Beggar To A King,/g/george+jones/beggar+to+a+king_20153404.html,"I had sunk as low as a man could go  
The world had turned me down  
Then you picked me up and you kissed me sweet  
You changed a beggar into a king.  
  
Yes, you took the rags from off of my back  
And you gave me your love to keep me warm  
Yes, you picked me up and you kissed me sweet  
And changed a beggar into a king.  
  
I had walked the streets with my head bowed low  
The sun for me would never shine  
Then you came along into my life  
And changed a beggar into a king.  
  
Yes, you took the rags from off of my back  
And you placed a crown on my head  
Yes, you picked me up and kissed me sweet  
You changed a beggar into a king.  
  
You changed a beggar into a king

"
