,artist,song,link,text
55303,Vonda Shepard,Reason To Believe,/v/vonda+shepard/reason+to+believe_20144715.html,"If I listened long enough to you  
I'd find a way to believe that it's all true  
Knowing that you lied straight-faced while I cried  
Still I look to find a reason to believe  
  
Someone like you makes it hard to live without  
Somebody else  
Someone like you makes it easy to give  
Never think about myself  
  
If I gave you time to change my mind  
I'd find a way just to leave the past behind  
Knowing that you lied straight-faced while I cried  
Still I look to find a reason to believe  
  
If I listened long enough to you  
I'd find a way to believe that it's all true  
Knowing that you lied straight-faced while I cried  
Still I look to find a reason to believe  
  
Someone like you makes it hard to live without  
Somebody else  
Someone like you makes it easy to give  
Never think about myself

"
5988,Fastball,Human Torch,/f/fastball/human+torch_20053175.html,"Turned 'round 6 o'clock and I'm still sleepin'  
I don't have to work on Saturday  
But I do anyway  
'Round the corner right on up to the shop  
I come creeping, but it don't matter anyway  
  
'Cause I know it's just as well  
And even so I feel like hell  
You can say that it's alright  
But I am wrapped up tight  
And I can see the forest through the trees  
I am on my knees  
I don't know if I am supposed to stay  
Or I'm supposed to leave it all behind  
  
The door the world outside still spins  
Waiting there behind the door but I won't let it in  
Not today, not tomorrow, not next week  
You're just gonna have to pay five bucks to see the geek  
  
'Cause I know it's just as well  
And even so I feel like hell  
You can say that it's alright  
But I am wrapped up tight  
And I can see the forest through the trees  
I am on my knees  
I don't know if I am supposed to stay  
Or I'm supposed to leave it all behind  
  
Please pay your attention high above the center ring  
Up in the rafters, 500 feet above the crowd  
My hair is soaked in kerosene  
My clothes are wet with gasoline  
You only get to see this once  
The human torch is going down  
Going down, going down, going down

"
28762,Dave Matthews Band,Sister,/d/dave+matthews+band/sister_20586042.html,"Pass the time with you in mind  
It's a rather quiet night  
Feel the ground against my back  
Counting stars against the black  
Thinking bout another day  
Wishing I was far away  
Whether they were dreams or worries  
You were there with me  
  
Sister, I hear you laugh  
My heart fills full up  
Keep me please  
Sister, when you cry  
I feel your tears running down my face  
Sister, Sister keep me  
  
I hope you always know it's true  
I would never make it through  
We could make the sun go down  
Just by walking away  
Playing like we used to play  
Our kingdom will never go away  
Feel you beating in my chest  
I'll be dead without  
  
Sister, I hear you laugh  
My heart fills full up  
Keep me please  
Sister, when you cry  
I feel your tears running down my face  
Sister, Sister will you keep me?  
  
I would never make it through  
Hope you always know it's true  
You could make the heaven's fall  
Just by walking away  
  
Sister, I hear you laugh  
My heart fills full up  
Keep me please  
Sister, when you cry  
I feel your tears running down my face  
Sister, Sister keep me

"
39628,Keith Urban,You Gonna Fly,/k/keith+urban/you+gonna+fly_20895206.html,"One, two, three baby don't think twice  
Just like that you gotta brand new life  
Hop in this truck and run through the red lights  
  
Yeah where you wanna go, baby name the town  
We can go up north or head down south  
Roll down the windows with the radio loud  
  
Come on turn it up, yeah  
Start living your life  
On the double, leave your troubles behind  
You knew we're gonna be alright  
  
[Chorus]  
You could be a black bird  
On a country street  
Hiding from the world with a broken wing  
But you better believe, you gonna fly with me  
You could be a songbird from the New Orleans  
Scared of the rain just scared to sing  
But you better believe, you're gonna fly with me  
  
Well, here we are baby in the back of my van  
Sun's going down sky's turning red  
Stars coming out  
Baby look at you now  
  
God know how long but its been a while  
Since I heard you laugh and I'd seen that smile  
Felt that kiss and I can get use to this  
Baby I could get use to this  
  
[Chorus]  
  
You're gonna fly  
You're gonna fly  
  
You could be a black bird  
On a country street  
Hiding from the world with a broken wing  
But you better believe, you gonna fly with me  
You could be a songbird from the New Orleans  
Scared of the rain just as scared to sing  
But you better believe yeah you better believe oh baby  
  
You could be a black bird  
On a country street  
Hiding from the world with a broken wing  
But you better believe, you gonna fly with me  
You could be a songbird from the New Orleans  
Scared of the rain just as scared to sing  
But you better believe you're gonna fly with me  
  
You're gonna fly  
You're gonna fly with me baby  
You better believe my honey girl  
Ooh yeah, you're goin' to fly

"
53626,Tool,The Pot,/t/tool/the+pot_20463261.html,"Who are you to wave your finger?  
You must have been out your head  
Eye hole deep in muddy waters  
You practically raised the dead  
  
Rob the grave to snow the cradle  
Then burn the evidence down  
Soapbox, house of cards, and glass  
So don't go tossin' your stones around  
  
You must have been high  
You must have been high  
You must have been  
  
Foot in mouth, and head up ass  
So what you talkin' 'bout?  
Difficult to dance 'round this one  
Till you pull it out, boy  
  
You must have been so high  
You must have been so high  
  
Steal, burrow, reefer  
Save your shady inference  
Kangaroo done hung the juror with the innocent  
  
Now you're weeping shades of cozen indigo  
Got lemon juice up in your eye  
When you pissed all over my black kettle  
You must have been high, high  
You must have been high, high  
  
Who are you to wave your finger?  
So full of it  
Eyeballs deep in muddy waters  
Fucking hypocrite  
  
Liar, lawyer, mirror show me  
What's the difference?  
Kangaroo done hung the guilty with the innocent  
  
Now you're weeping shades of cozen indigo  
Got lemon juice up in your eye  
When you pissed all over my black kettle  
  
You must have been  
  
So who are you to wave your finger?  
Who are you to wave your fat fingers at me?  
You must have been out your mind  
  
Weeping shades of indigo  
Trapped without a reason  
Weeping shades of indigo  
  
Liar, lawyer, mirror for you  
What's the difference?  
Kangaroo be stoned  
He's guilty as the government  
  
Now you're weeping shades of cozen indigo  
Got lemon juice up in your eye  
When you pissed all over my black kettle  
  
You must have been high, high, high, high  
  
Eyeballs deep in bloody waters  
You're balls deep in muddy waters  
Ganja? Please!  
You must have been out your mind

"
593,Allman Brothers Band,Shine It On,/a/allman+brothers+band/shine+it+on_20006703.html,"I've had my troubles,  
I know you've had your troubles too.  
Sometimes when you need a little sunshine,  
It keeps rainin' down on you.  
  
But I'm not gonna let it get me down,  
Keep on pullin', things are gonna come around.  
Shine it on,  
Shine it on.  
  
Little blue-eyed woman,  
She made me feel so fine.  
She got what she wanted,  
Then she moved on down the line.  
  
Yes I know about the pain,  
Tears are gonna fall,  
Just like rain.  
  
[Chorus]  
Shine it on,  
Look around you see what's goin' on.  
Shine it on,  
Before you end up out there on your own.  
Don't let some rainy day, steal your heart away,  
You got to go on,  
It's just the dark before the dawn,  
Shine it on.  
  
Shine it on,  
Look around you see what's goin' on.  
Shine it on,  
Before you end up out there on your own.  
  
Don't let some rainy day, steal your heart away,  
Shine it on,  
Look around you see what's goin' on.  
Shine it on,  
  
Before you end up out there on your own.  
Shine it on, oh baby.  
Shine it on, shine it on, shine it on,  
Shine it on.

"
48482,Pink Floyd,Us And Them,/p/pink+floyd/us+them_20108709.html,"Us and them  
And after all we're only ordinary men.  
Me and you  
God only knows it's not what we would choose to do.  
  
'Forward' he cried from the rear  
And the front rank died.  
The general is sat and the lines on the map  
Move from side to side.  
  
Black and blue  
And who knows which is which and who is who.  
Up and down  
And in the end it's only round and round. And round.  
  
'Haven't you heard it's a battle of words'  
The poster bearer cried.  
'Listen son' said the man with the gun,  
'There's room for you inside.'  
  
""Well I mean, they're gonna kill ya, so like, if you give 'em a quick
sh...short, sharp shock, they don't do it again. Dig it? I mean he got off
light, 'cause I coulda given 'im a thrashin' but I only hit him once. It's
only the difference between right and wrong innit? I mean good manners don't
cost nothing do they, eh?""  
  
Down and out  
It can't be helped but there's a lot of it about.  
With, without.  
And who'll deny it's what the fighting's all about?  
  
Out of the way, it's a busy day  
I've got things on my mind.  
For want of the price of tea and a slice  
The old man died.

"
55402,Wanda Jackson,Lonely Weekends,/w/wanda+jackson/lonely+weekends_20532992.html,"Well I make it alright from Monday morning till Friday night oh those lonely
weekends  
Since you left me I'm as lonely as I can be oh those lonely weekends  
Said you'd be good to me I said our love ain't gonna never ever die  
I said you'd be true to me but baby you didn't even try I make it alright  
From Monday morning till Friday night oh those lonely weekends  
[ guitar ]  
I make it alright...  
Oh those lonely weekends oh those lonely weekends look out those lonely
weekends  
  
  

"
34277,Gordon Lightfoot,Couchiching,/g/gordon+lightfoot/couchiching_20825814.html,"There's a town they call Orillia, It is there of which I sing.  
It is just above Lake Simcoe, by Lake Couchiching.  
  
-Chorus-  
Couchiching, Couchiching, by Lake Couchiching.  
Cooooochiching, by Lake Couchiching.  
Couchiching, Couchiching, by Lake Couchiching,  
Coooochiching  
  
Across the raging Narrows, Casino Rama stands.  
Where there once were only sparrows, people come from other lands.  
To the west lie hills aplenty, if skiing is your thing,  
You can while away the summer, by Lake Couchiching.  
  
-Chorus-  
  
In Orillia they had movies, and sports and music too.  
And all around the shore line, were the folks that we all knew.  
  
-Chorus-  
  
Now I've spent my life in travel, now I've spent my life in dust.  
Now I've spent my life in family, now I've spent my life in trust.  
Any way you'd like to cut in, It'll hit you with a ping.  
When you think about Orillia, and it's by Lake Couchiching.  
  
-Chorus-  
  
When I get my final slumber, when I pawn my diamond ring,  
I will do my final number, by Lake Couchiching.  
  
-Chorus-

"
21469,Who,Dreaming From The Waist,/w/who/dreaming+from+the+waist_20146586.html,"I feel like I want to break out of the house  
My heart is a-pumping, I've got sand in my mouth  
I feel like I'm heading up to a cardiac arrest  
I want to scream in the night, I want a manifest  
  
I've got that wide awake, give-and-take, five o'clock-in-the-morning feeling  
I've got the hots for the sluts in the well thumbed pages of a magazine  
I want to drive, want to fly like I do in the dreams I've never really been in  
I want to hump, want to jump, want to heat up, cool down in a dream machine  
  
I'm dreaming... from the waist on down  
I'm dreaming... but I feel tired and bound  
I'm dreaming... of a day when a cold shower helps my health  
I'm dreaming... dreaming - of the day I can control myself  
Day I can control myself  
  
Sound like a priest and then I'm shooting dice  
I'm burning tires with some guy whose hair is turning white  
I know the girls that I pass, they just ain't impressed  
I'm too old to give up, but too young to rest  
  
I've got that numb-to-a-thumb over-dubbed  
Feeling social when the world is sleeping  
The plot starts to thicken then I sicken and I feel I'm cemented down  
I'm so juiced that the whorey lady's sad sad story has me quietly weeping  
But here comes the morning  
Here comes the yawning demented clown  
  
I'm dreaming...but I know it's all hot air  
I'm dreaming...I'll get back to that rocking chair  
I'm dreaming...of the day I can share the wealth  
I'm dreaming...dreaming - of the day I can control myself  
Day I can control myself  
Hey, hey!  
The day I can control myself

"
